id,subfolder,target,pa_amod
viral/deu_news_2012_1M-sentences.txt/853772,2011-2015,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2012_1M-sentences.txt/1572927,2011-2015,"[('viral/ADJ',)]","[('Erkrankung',)]"
viral/deu_news_2012_1M-sentences.txt/3686823,2011-2015,"[('viral/ADJ',)]","[('Kampagne',)]"
viral/deu_news_2012_1M-sentences.txt/4752044,2011-2015,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2012_1M-sentences.txt/5096811,2011-2015,"[('viral/ADJ',)]","[('Meningitis',)]"
viral/deu_news_2012_1M-sentences.txt/5610387,2011-2015,"[('viral/ADJ',)]","[('DNA',)]"
viral/deu_news_2012_1M-sentences.txt/6646271,2011-2015,"[('viral/ADJ',)]","[('Genoms',)]"
viral/deu_news_2012_1M-sentences.txt/7083541,2011-2015,"[('viral/ADJ',)]","[('Marketingkampagne',)]"
viral/deu_news_2012_1M-sentences.txt/7331105,2011-2015,"[('viral/ADJ',)]","[('Effekte',)]"
viral/deu_news_2012_1M-sentences.txt/8286929,2011-2015,"[('viral/ADJ',)]","[('Werbefilm',)]"
viral/deu_news_2012_1M-sentences.txt/8330379,2011-2015,"[('viral/ADJ',)]","[('Konzepten',)]"
viral/deu_news_2012_1M-sentences.txt/10693664,2011-2015,"[('viral/ADJ',)]","[('Proteinen',)]"
viral/deu_news_2012_1M-sentences.txt/10715660,2011-2015,"[('viral/ADJ',)]","[('YouTube',)]"
viral/deu_news_2012_1M-sentences.txt/10800201,2011-2015,"[('viral/ADJ',)]","[('Kampagnen',)]"
viral/deu_news_2012_1M-sentences.txt/11183050,2011-2015,"[('viral/ADJ',)]","[('Meningitis',)]"
viral/deu_news_2012_1M-sentences.txt/11746040,2011-2015,"[('viral/ADJ',)]","[('Verbreitung',)]"
viral/deu_news_2012_1M-sentences.txt/16203691,2011-2015,"[('viral/ADJ',)]","[('DNA',)]"
viral/deu_news_2012_1M-sentences.txt/19346905,2011-2015,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2012_1M-sentences.txt/19814153,2011-2015,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2012_1M-sentences.txt/21595265,2011-2015,"[('viral/ADJ',)]","[('Infekte',)]"
viral/deu_news_2012_1M-sentences.txt/21804618,2011-2015,"[('viral/ADJ',)]","[('Erreger',)]"
viral/deu_news_2013_1M-sentences.txt/117731,2011-2015,"[('viral/ADJ',)]","[('Publizieren',)]"
viral/deu_news_2013_1M-sentences.txt/2187903,2011-2015,"[('viral/ADJ',)]","[('Infekt',)]"
viral/deu_news_2013_1M-sentences.txt/3061148,2011-2015,"[('viral/ADJ',)]","[('Hall',)]"
viral/deu_news_2013_1M-sentences.txt/5188516,2011-2015,"[('viral/ADJ',)]","[('Hit',)]"
viral/deu_news_2013_1M-sentences.txt/6578952,2011-2015,"[('viral/ADJ',)]","[('Verbreitung',)]"
viral/deu_news_2013_1M-sentences.txt/9503034,2011-2015,"[('viral/ADJ',)]","[('Erfolg',)]"
viral/deu_news_2013_1M-sentences.txt/10673749,2011-2015,"[('viral/ADJ',)]","[('Infekt',)]"
viral/deu_news_2013_1M-sentences.txt/11164463,2011-2015,"[('viral/ADJ',)]","[('YouTube',)]"
viral/deu_news_2013_1M-sentences.txt/11174180,2011-2015,"[('viral/ADJ',)]","[('Hass',)]"
viral/deu_news_2013_1M-sentences.txt/11700329,2011-2015,"[('viral/ADJ',)]","[('Vektorplattform',)]"
viral/deu_news_2013_1M-sentences.txt/12874027,2011-2015,"[('viral/ADJ',)]","[('Kampagnen',)]"
viral/deu_news_2013_1M-sentences.txt/12903561,2011-2015,"[('viral/ADJ',)]","[('Einladungen',)]"
viral/deu_news_2013_1M-sentences.txt/13414654,2011-2015,"[('viral/ADJ',)]","[('Verbreitung',)]"
viral/deu_news_2013_1M-sentences.txt/17353371,2011-2015,"[('viral/ADJ',)]","[('Phänomens',)]"
viral/deu_news_2013_1M-sentences.txt/17840603,2011-2015,"[('viral/ADJ',)]","[('Marketung',)]"
viral/deu_news_2013_1M-sentences.txt/18745472,2011-2015,"[('viral/ADJ',)]","[('Videos',)]"
viral/deu_news_2014_1M-sentences.txt/400995,2011-2015,"[('viral/ADJ',)]","[('Infekte',)]"
viral/deu_news_2014_1M-sentences.txt/809577,2011-2015,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2014_1M-sentences.txt/4338217,2011-2015,"[('viral/ADJ',)]","[('Werbeclips',)]"
viral/deu_news_2014_1M-sentences.txt/4469325,2011-2015,"[('viral/ADJ',)]","[('Hepatitis',)]"
viral/deu_news_2014_1M-sentences.txt/5144039,2011-2015,"[('viral/ADJ',)]","[('Wirkung',)]"
viral/deu_news_2014_1M-sentences.txt/5200538,2011-2015,"[('viral/ADJ',)]","[('Hit',)]"
viral/deu_news_2014_1M-sentences.txt/5813786,2011-2015,"[('viral/ADJ',)]","[('Infektion',)]"
viral/deu_news_2014_1M-sentences.txt/5947381,2011-2015,"[('viral/ADJ',)]","[('Erfolg',)]"
viral/deu_news_2014_1M-sentences.txt/5963935,2011-2015,"[('viral/ADJ',)]","[('Grippe',)]"
viral/deu_news_2014_1M-sentences.txt/6031996,2011-2015,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2014_1M-sentences.txt/6965920,2011-2015,"[('viral/ADJ',)]","[('Spendenaktion',)]"
viral/deu_news_2014_1M-sentences.txt/8147315,2011-2015,"[('viral/ADJ',)]","[('Werbevideos',)]"
viral/deu_news_2014_1M-sentences.txt/8358399,2011-2015,"[('viral/ADJ',)]","[('Marketing',)]"
viral/deu_news_2014_1M-sentences.txt/8880821,2011-2015,"[('viral/ADJ',)]","[('Rechenmodell',)]"
viral/deu_news_2014_1M-sentences.txt/9252184,2011-2015,"[('viral/ADJ',)]","[('Internet',)]"
viral/deu_news_2014_1M-sentences.txt/9637380,2011-2015,"[('viral/ADJ',)]","[('Videos',)]"
viral/deu_news_2014_1M-sentences.txt/9879429,2011-2015,"[('viral/ADJ',)]","[('Infektionskrankheiten',)]"
viral/deu_news_2014_1M-sentences.txt/9965389,2011-2015,"[('viral/ADJ',)]","[('Infektion',)]"
viral/deu_news_2014_1M-sentences.txt/10830649,2011-2015,"[('viral/ADJ',)]","[('Videos',)]"
viral/deu_news_2014_1M-sentences.txt/11227179,2011-2015,"[('viral/ADJ',)]","[('Spendenaktionen',)]"
viral/deu_news_2014_1M-sentences.txt/11543264,2011-2015,"[('viral/ADJ',)]","[('Infekten',)]"
